TIMESTMAP	DEV	tps	rkB/s	wkB/s	dkB/s	areq-sz	aqu-sz	await	%util
2025-10-25 AM 00:10	dm-3	133.75	0	25064.46	0	187.39	0.08	0.59	9.8
2025-10-25 AM 00:20	dm-3	162.64	0	30640.05	0	188.39	0.09	0.53	10.49
2025-10-25 AM 00:30	dm-3	127.69	0	24327.33	0	190.52	0.07	0.58	9.44
2025-10-25 AM 00:40	dm-3	80.92	0	15273.17	0	188.74	0.05	0.57	6.14
2025-10-25 AM 00:50	dm-3	122.62	0	23432.33	0	191.1	0.08	0.63	9.29
2025-10-25 AM 01:00	dm-3	110.45	0	21002.13	0	190.15	0.07	0.61	8.56
2025-10-25 AM 01:10	dm-3	135.27	0	21542.16	0	159.26	0.07	0.53	10.96
2025-10-25 AM 01:20	dm-3	115.59	0	22077.28	0	190.99	0.07	0.6	8.78
2025-10-25 AM 01:30	dm-3	104.65	0	19594.94	0	187.25	0.06	0.6	7.98
2025-10-25 AM 01:40	dm-3	108.23	0	20319.97	0	187.74	0.06	0.57	8.01
2025-10-25 AM 01:50	dm-3	106.57	0	19992.43	0	187.59	0.06	0.57	8
2025-10-25 AM 02:00	dm-3	114.26	0	21475.83	0	187.96	0.07	0.57	8.47

2025-10-24 AM 00:10	dm-3	502.19	0	87035.88	0	173.31	0.18	0.35	14.11
2025-10-24 AM 00:20	dm-3	527.6	0	91510.24	0	173.45	0.14	0.26	14.69
2025-10-24 AM 00:30	dm-3	542.49	0	94069.64	0	173.4	0.34	0.62	16.05
2025-10-24 AM 00:40	dm-3	536.23	0	93314.99	0	174.02	0.79	1.47	17.92
2025-10-24 AM 00:50	dm-3	538.18	0	93393.99	0	173.54	0.38	0.71	16
2025-10-24 AM 01:00	dm-3	540.31	0	93655.75	0	173.34	0.33	0.62	15.72
2025-10-24 AM 01:10	dm-3	562.3	0	93411.98	0	166.13	0.24	0.42	15.66
2025-10-24 AM 01:20	dm-3	510.38	0	88465.11	0	173.33	0.21	0.41	14.45
2025-10-24 AM 01:30	dm-3	532.21	0	92409.98	0	173.63	0.24	0.44	15.04
2025-10-24 AM 01:40	dm-3	537.96	0	93447.8	0	173.71	0.17	0.32	15.03
2025-10-24 AM 01:50	dm-3	554.92	0	96461.41	0	173.83	0.15	0.28	15.46
2025-10-24 AM 02:00	dm-3	563.55	0	97902.6	0	173.72	0.22	0.38	15.82

2025-10-24 PM 01:00	dm-3	550.79	0	102850.82	0	186.73	0.75	1.36	18.69
2025-10-24 PM 01:10	dm-3	591.04	0	111322.29	0	188.35	4.67	7.9	29.5
2025-10-24 PM 01:20	dm-3	610.97	0	114695.42	0	187.73	2.55	4.17	24.24
2025-10-24 PM 01:30	dm-3	652.76	0.21	124051.31	0	190.04	1.19	1.82	23.04
2025-10-24 PM 01:40	dm-3	659.84	0	123551.28	0	187.24	2.58	3.92	25.96
2025-10-24 PM 01:50	dm-3	716.89	0.43	139068.45	0	193.99	1.23	1.72	28.29
2025-10-24 PM 02:00	dm-3	737.44	0.11	138826.4	0	188.25	2.82	3.82	29.41
2025-10-24 PM 02:10	dm-3	763.26	0	143904.35	0	188.54	1.77	2.32	26.6
2025-10-24 PM 02:20	dm-3	768.35	0.21	147662.04	0	192.18	3.6	4.68	32.36
2025-10-24 PM 02:30	dm-3	769.84	0.11	145887.42	0	189.5	1.15	1.49	24.91
2025-10-24 PM 02:40	dm-3	758.93	0	144689.03	0	190.65	5.27	6.95	35.37
2025-10-24 PM 02:50	dm-3	447.56	0	84628.56	0	189.09	0.94	2.1	17.6
2025-10-24 PM 03:00	dm-3	111.39	0	20970.77	0	188.27	0.06	0.51	8.25
2025-10-24 PM 03:10	dm-3	119.08	0	22248.98	0	186.84	0.06	0.53	8.66
2025-10-24 PM 03:20	dm-3	172.97	0	32117.47	0	185.69	0.08	0.46	10.36
2025-10-24 PM 03:30	dm-3	130.03	0	23947.31	0	184.17	0.06	0.48	9.05
2025-10-24 PM 03:40	dm-3	102.84	0	18780.81	0	182.61	0.05	0.49	7.34
2025-10-24 PM 03:50	dm-3	152.89	0	27598.71	0	180.52	0.07	0.47	9.68
2025-10-24 PM 04:00	dm-3	138.7	0	25410.19	0	183.21	0.08	0.56	10
